,Date,Open,Symbol
0,2020-03-30,62.685001,AAPL
1,2020-03-31,63.900002,AAPL
2,2020-04-01,61.625,AAPL
3,2020-04-02,60.084998999999996,AAPL
4,2020-04-03,60.700001,AAPL
5,2020-04-06,62.724998,AAPL
6,2020-04-07,67.699997,AAPL
7,2020-04-08,65.684998,AAPL
8,2020-04-09,67.175003,AAPL
9,2020-04-13,67.077499,AAPL
10,2020-04-14,70.0,AAPL
11,2020-04-15,70.599998,AAPL
12,2020-04-16,71.845001,AAPL
13,2020-04-17,71.172501,AAPL
14,2020-04-20,69.487503,AAPL
15,2020-04-21,69.07,AAPL
16,2020-04-22,68.402496,AAPL
17,2020-04-23,68.967499,AAPL
18,2020-04-24,69.300003,AAPL
19,2020-04-27,70.449997,AAPL
20,2020-04-28,71.269997,AAPL
21,2020-04-29,71.182503,AAPL
22,2020-04-30,72.489998,AAPL
23,2020-05-01,71.5625,AAPL
24,2020-05-04,72.292503,AAPL
25,2020-05-05,73.764999,AAPL
26,2020-05-06,75.114998,AAPL
27,2020-05-07,75.805,AAPL
28,2020-05-08,76.410004,AAPL
29,2020-05-11,77.025002,AAPL
30,2020-05-12,79.457497,AAPL
31,2020-05-13,78.037498,AAPL
32,2020-05-14,76.127502,AAPL
33,2020-05-15,75.087502,AAPL
34,2020-05-18,78.292503,AAPL
35,2020-05-19,78.7575,AAPL
36,2020-05-20,79.16999799999999,AAPL
37,2020-05-21,79.665001,AAPL
38,2020-05-22,78.942497,AAPL
39,2020-05-26,80.875,AAPL
40,2020-05-27,79.035004,AAPL
41,2020-05-28,79.192497,AAPL
42,2020-05-29,79.8125,AAPL
43,2020-06-01,79.4375,AAPL
44,2020-06-02,80.1875,AAPL
45,2020-06-03,81.165001,AAPL
46,2020-06-04,81.097504,AAPL
47,2020-06-05,80.837502,AAPL
48,2020-06-08,82.5625,AAPL
49,2020-06-09,83.035004,AAPL
50,2020-06-10,86.974998,AAPL
51,2020-06-11,87.327499,AAPL
52,2020-06-12,86.18,AAPL
53,2020-06-15,83.3125,AAPL
54,2020-06-16,87.864998,AAPL
55,2020-06-17,88.787498,AAPL
56,2020-06-18,87.852501,AAPL
57,2020-06-19,88.660004,AAPL
58,2020-06-22,87.834999,AAPL
59,2020-06-23,91.0,AAPL
60,2020-06-24,91.25,AAPL
61,2020-06-25,90.175003,AAPL
62,2020-06-26,91.102501,AAPL
63,2020-06-29,88.3125,AAPL
64,2020-06-30,90.019997,AAPL
65,2020-07-01,91.279999,AAPL
66,2020-07-02,91.962502,AAPL
67,2020-07-06,92.5,AAPL
68,2020-07-07,93.852501,AAPL
69,2020-07-08,94.18,AAPL
70,2020-07-09,96.262497,AAPL
71,2020-07-10,95.334999,AAPL
72,2020-07-13,97.264999,AAPL
73,2020-07-14,94.839996,AAPL
74,2020-07-15,98.989998,AAPL
75,2020-07-16,96.5625,AAPL
76,2020-07-17,96.987503,AAPL
77,2020-07-20,96.417503,AAPL
78,2020-07-21,99.172501,AAPL
79,2020-07-22,96.692497,AAPL
80,2020-07-23,96.997498,AAPL
81,2020-07-24,90.987503,AAPL
82,2020-07-27,93.709999,AAPL
83,2020-07-28,94.3675,AAPL
84,2020-07-29,93.75,AAPL
85,2020-07-30,94.1875,AAPL
86,2020-07-31,102.885002,AAPL
87,2020-08-03,108.199997,AAPL
88,2020-08-04,109.1325,AAPL
89,2020-08-05,109.377502,AAPL
90,2020-08-06,110.404999,AAPL
91,2020-08-07,113.20500200000001,AAPL
92,2020-08-10,112.599998,AAPL
93,2020-08-11,111.970001,AAPL
94,2020-08-12,110.497498,AAPL
95,2020-08-13,114.43,AAPL
96,2020-08-14,114.83000200000001,AAPL
